date,counter,temp_high,temp_low,other
26-Nov-2017,9843,16,8,0
27-Nov-2017,9855,16,14,0
28-Nov-2017,9874,18,9,0
29-Nov-2017,9886,13,8,0
30-Nov-2017,9902,13,10,0
01-Dec-2017,9920,17,13,0
02-Dec-2017,9940,19,15,1
03-Dec-2017,9952,20,13,0
04-Dec-2017,9960,20,15,0
05-Dec-2017,9972,16,6,0
06-Dec-2017,9985,8,3,0
07-Dec-2017,9998,8,4,0
08-Dec-2017,10015,12,10,0
09-Dec-2017,10029,13,10,0
10-Dec-2017,10046,15,13,0
11-Dec-2017,10060,15,6,0
12-Dec-2017,10078,15,11,1
13-Dec-2017,10090,16,13,0
14-Dec-2017,10100,15,13,0
15-Dec-2017,10112,16,13,0
16-Dec-2017,10120,16,14,0
17-Dec-2017,10123,17,13,-1
18-Dec-2017,10133,17,7,0
19-Dec-2017,10147,9,7,0
20-Dec-2017,10169,9,5,0
21-Dec-2017,10192,8,4,0
22-Dec-2017,10210,8,3,-1
23-Dec-2017,10235,7,4,0
24-Dec-2017,10260,7,2,0
25-Dec-2017,10284,8,3,0
26-Dec-2017,10301,11,8,0
27-Dec-2017,10317,12,10,0
28-Dec-2017,10329,15,11,0
